value label	orig_label	label_short	label_short_hemi	hemisphere	tissue	major_compartment	compartment	roi_order	roi_group	label_group
162	accessory_olfactory_bulb_granular_layer_right	343	ABg	ABg_right	right	gm	cerebrum	sensory olfactory accessory	162	38	sensory olfactory accessory right
163	primary_somatosensory_cortex_unspecified_right	111	S1u	S1u_right	right	gm	cerebrum	primary somatosensory cortex	163	39	primary somatosensory cortex right
164	primary_somatosensory_cortex_barrel_right	117	S1bf	S1bf_right	right	gm	cerebrum	primary somatosensory cortex	164	39	primary somatosensory cortex right
165	primary_somatosensory_cortex_dysgranular_right	121	S1dz	S1dz_right	right	gm	cerebrum	primary somatosensory cortex	165	39	primary somatosensory cortex right
166	primary_somatosensory_cortex_forelimb_right	126	S1fl	S1fl_right	right	gm	cerebrum	primary somatosensory cortex	166	39	primary somatosensory cortex right
167	primary_somatosensory_cortex_hindlimb_right	127	S1hl	S1hl_right	right	gm	cerebrum	primary somatosensory cortex	167	39	primary somatosensory cortex right
168	primary_somatosensory_cortex_jaw_right	128	S1j	S1j_right	right	gm	cerebrum	primary somatosensory cortex	168	39	primary somatosensory cortex right
169	primary_somatosensory_cortex_shoulder_right	129	S1s	S1s_right	right	gm	cerebrum	primary somatosensory cortex	169	39	primary somatosensory cortex right
170	primary_somatosensory_cortex_trunk_right	132	S1tr	S1tr_right	right	gm	cerebrum	primary somatosensory cortex	170	39	primary somatosensory cortex right
171	primary_somatosensory_cortex_upperlip_right	134	S1ul	S1ul_right	right	gm	cerebrum	primary somatosensory cortex	171	39	primary somatosensory cortex right
172	secondary_somatosensory_cortex_right	135	S2	S2_right	right	gm	cerebrum	secondary somatosensory cortex	172	40	secondary somatosensory cortex right
173	primary_auditory_cortex_right	46	A1	A1_right	right	gm	cerebrum	primary auditory cortex	173	41	primary auditory cortex right
174	secondary_auditory_cortex_dorsal_right	48	A2d	A2d_right	right	gm	cerebrum	 secondary auditory cortex	174	42	 secondary auditory cortex right
175	secondary_auditory_cortex_ventral_right	49	A2v	A2v_right	right	gm	cerebrum	 secondary auditory cortex	175	42	 secondary auditory cortex right
176	primary_visual_cortex_unspecified_right	137	V1u	V1u_right	right	gm	cerebrum	primary visual cortex	176	43	primary visual cortex right
177	primary_visual_cortex_binocular_right	138	V1b	V1b_right	right	gm	cerebrum	primary visual cortex	177	43	primary visual cortex right
178	primary_visual_cortex_monocular_right	141	V1m	V1m_right	right	gm	cerebrum	primary visual cortex	178	43	primary visual cortex right
179	secondary_visual_cortex_lateral_right	142	V2l	V2l_right	right	gm	cerebrum	secondary visual cortex	179	44	secondary visual cortex right
180	secondary_visual_cortex_mediolateral_right	147	V2ml	V2ml_right	right	gm	cerebrum	secondary visual cortex	180	44	secondary visual cortex right
181	secondary_visual_cortex_mediomedial_right	149	V2mm	V2mm_right	right	gm	cerebrum	secondary visual cortex	181	44	secondary visual cortex right
182	primary_motor_cortex_right	81	M1	M1_right	right	gm	cerebrum	motor cortex	182	45	motor cortex right
183	secondary_motor_cortex_right	82	M2	M2_right	right	gm	cerebrum	motor cortex	183	45	motor cortex right
184	striatum_right	7	CPu	CPu_right	right	gm	cerebrum	basal ganglia	184	46	basal ganglia right
185	globus_pallidus_right	44	GP	GP_right	right	gm	cerebrum	basal ganglia	185	46	basal ganglia right
